Date,Open,High,Low,Close
24-12-2004,154.12,159,152.7,158.49
27-12-2004,158.75,160.63,157.77,158.82
28-12-2004,159,164.25,158.27,163.67
29-12-2004,164.62,167.11,164.15,165.03
30-12-2004,164.75,166,161.48,162.08
31-12-2004,162.5,167.35,162.08,166.93
03-01-2005,166.93,169.59,166.93,169.16
04-01-2005,168.75,169.25,166.65,167.66
05-01-2005,167.52,167.52,160.04,165.63
06-01-2005,165,168.25,161.56,165.06
07-01-2005,166.25,168.13,164.08,167.49
10-01-2005,168.58,169.93,165.25,165.93
11-01-2005,166.25,166.91,162.63,164.22
12-01-2005,165.74,170.99,160.84,162.26
13-01-2005,163.75,167.34,159.38,161.61
14-01-2005,163.09,164.74,159.63,162.05
17-01-2005,163.7,163.7,155.02,157.91
18-01-2005,159.34,160.5,157.19,157.98
19-01-2005,158.25,159.21,156.39,156.93
20-01-2005,156.88,156.88,153.75,155.46
24-01-2005,155.46,155.92,151.92,152.58
25-01-2005,151.85,154.99,150.89,154.43
27-01-2005,155.41,156.73,154.41,155.07
28-01-2005,155.36,161.85,155.31,161.15
31-01-2005,162.25,163.98,161.28,162.55
01-02-2005,163.38,165,160.88,164.41
02-02-2005,164.88,165.43,162.88,163.62
03-02-2005,164,164.35,162.75,163.89
04-02-2005,163.75,165.25,162.57,163.31
07-02-2005,164.07,166.34,162.63,164.22
08-02-2005,164.22,165.38,163.5,164.5
09-02-2005,165.13,167.95,165.1,166.6
10-02-2005,166.25,167.94,165.38,166.58
11-02-2005,167.25,173.38,167.25,172.72
14-02-2005,173.88,177.25,173.88,176.21
15-02-2005,176.25,176.88,171.75,172.67
16-02-2005,174.88,174.88,170.13,171.02
17-02-2005,171.02,173.25,168.82,172.73
18-02-2005,172.5,174,169.38,171.88
21-02-2005,171.38,171.98,168.14,170.7
22-02-2005,170.59,171.24,168.88,170.43
23-02-2005,170.43,172.76,169.4,171.87
24-02-2005,171.87,174.49,170.15,170.99
25-02-2005,172.1,172.38,169.15,170.51
28-02-2005,172.38,173.13,167.5,172.61
01-03-2005,172.63,180,168.88,169.68
02-03-2005,171.88,171.88,170.2,171
03-03-2005,171.25,174.38,170.5,173.7
04-03-2005,174.25,175.44,172.75,174.03
07-03-2005,174.38,176,174.25,175.02
08-03-2005,175.5,177.61,174.42,176.74
09-03-2005,176.13,178.31,174.38,175.94
10-03-2005,176.25,176.25,173.78,174.95
11-03-2005,175.75,179.36,175.63,178.43
14-03-2005,178.5,182.5,177.5,181.48
15-03-2005,181.38,182.75,178.75,180.33
16-03-2005,180,183.45,180,181.51
17-03-2005,181,184.21,180,182.62
18-03-2005,182.38,184.06,178.13,183.59
21-03-2005,183.77,184.38,180.57,182.06
22-03-2005,181.85,182.14,180.01,180.45
23-03-2005,180,181,176.67,177.66
24-03-2005,178.75,179.75,172.21,173.04
28-03-2005,173.88,176.11,173,174.05
29-03-2005,174.38,174.75,170.27,171.36
30-03-2005,171.39,175,170,173.82
31-03-2005,175.56,180.64,174.66,179.01
01-04-2005,179.13,182.13,176.75,181.37
04-04-2005,181.5,182.1,177.91,178.47
05-04-2005,178.63,180.31,177.01,178.18
